date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/1/2009,arizona-diamondbacks,cincinnati-reds,-53.51%,115,-115,139,-161,24,46,$100,$62.11,$162.11,$100,$62.11,$162.11,$100,$139.00,$0,,,,,,,,,
7/1/2009,philadelphia-phillies,atlanta-braves,54.64%,-120,120,-113,-103,7,23,$100,$88.50,$0,$100,$88.50,$0,$100,$88.50,$0,$100,$88.50,$0,,,,,,
7/1/2009,boston-red-sox,baltimore-orioles,58.44%,-141,141,-120,102,21,39,$100,$83.33,$183.33,$100,$83.33,$183.33,$100,$83.33,$183.33,$100,$83.33,$183.33,,,,,,
7/1/2009,chicago-cubs,pittsburgh-pirates,-57.06%,133,-133,-135,117,68,50,$100,$117.00,$0,$100,$74.07,$174.07,$100,$117.00,$0,$100,$117.00,$0,$100,$117.00,$0,$100,$117.00,$0
7/1/2009,detroit-tigers,oakland-athletics,55.97%,-127,127,-123,106,4,21,$100,$81.30,$0,$100,$81.30,$0,$100,$81.30,$0,$100,$81.30,$0,,,,,,
7/1/2009,houston-astros,san-diego-padres,51.71%,-107,107,-120,102,13,5,$100,$83.33,$183.33,$100,$83.33,$183.33,,,,,,,,,,,,
7/1/2009,minnesota-twins,kansas-city-royals,55.70%,-126,126,-106,-111,20,37,$100,$94.34,$194.34,$100,$90.09,$0,$100,$94.34,$194.34,$100,$94.34,$194.34,,,,,,
7/1/2009,los-angeles-angels,texas-rangers,52.96%,-113,113,-108,-108,5,21,$100,$92.59,$0,$100,$92.59,$192.59,$100,$92.59,$0,$100,$92.59,$0,,,,,,
7/1/2009,colorado-rockies,los-angeles-dodgers,-54.72%,121,-121,127,-147,6,26,$100,$68.03,$168.03,$100,$68.03,$168.03,$100,$127.00,$0,,,,,,,,,
7/1/2009,new-york-mets,milwaukee-brewers,-53.54%,115,-115,213,-256,98,141,$100,$39.06,$0,$100,$39.06,$0,$100,$213.00,$313.00,,,,,,,$100,$213.00,$313.00
7/1/2009,seattle-mariners,new-york-yankees,-55.78%,126,-126,154,-178,28,52,$100,$56.18,$156.18,$100,$56.18,$156.18,$100,$154.00,$0,,,,,,,,,
7/1/2009,tampa-bay-rays,toronto-blue-jays,55.54%,-125,125,-123,104,2,21,$100,$81.30,$0,$100,$81.30,$0,$100,$81.30,$0,$100,$81.30,$0,,,,,,
,,,,,,,,,,$1200,-$152.67,-12.72%,$1200,$19.65,1.64%,$1100,-$409.33,-37.21%,$700,-$322.33,-46.05%,$100,-$100.00,-100.00%,$200,$113.00,56.50%
7/2/2009,arizona-diamondbacks,cincinnati-reds,-53.87%,117,-117,117,-135,0,18,$100,$74.07,$174.07,$100,$74.07,$174.07,,,,,,,,,,,,
7/2/2009,philadelphia-phillies,atlanta-braves,50.89%,-104,104,119,-138,23,42,$100,$119.00,$0,$100,$72.46,$172.46,$100,$119.00,$0,$100,$119.00,$0,$100,$119.00,$0,,,
7/2/2009,baltimore-orioles,los-angeles-angels,-56.55%,130,-130,143,-166,13,36,$100,$60.24,$160.24,$100,$60.24,$160.24,$100,$143.00,$0,,,,,,,,,
7/2/2009,milwaukee-brewers,chicago-cubs,52.40%,-110,110,129,-149,39,59,$100,$129.00,$0,$100,$67.11,$167.11,$100,$129.00,$0,$100,$129.00,$0,$100,$129.00,$0,,,
7/2/2009,houston-astros,san-diego-padres,54.42%,-119,119,-108,-108,11,27,$100,$92.59,$192.59,$100,$92.59,$0,$100,$92.59,$192.59,$100,$92.59,$192.59,,,,,,
7/2/2009,new-york-mets,pittsburgh-pirates,-51.02%,104,-104,123,-142,19,38,$100,$70.42,$0,$100,$70.42,$0,$100,$123.00,$223.00,,,,,,,,,
7/2/2009,seattle-mariners,new-york-yankees,-56.36%,129,-129,264,-322,135,193,$100,$31.06,$0,$100,$31.06,$0,$100,$264.00,$364.00,,,,,,,$100,$264.00,$364.00
,,,,,,,,,,$700,-$173.09,-24.73%,$700,-$26.11,-3.73%,$600,$179.59,29.93%,$300,-$107.41,-35.80%,$200,-$200.00,-100.00%,$100,$264.00,264.00%
7/3/2009,arizona-diamondbacks,colorado-rockies,-57.55%,136,-136,121,-140,15,4,$100,$71.43,$171.43,$100,$71.43,$171.43,,,,,,,,,,,,
7/3/2009,baltimore-orioles,los-angeles-angels,-57.17%,133,-133,133,-151,0,18,$100,$66.23,$0,$100,$66.23,$0,,,,,,,,,,,,
7/3/2009,seattle-mariners,boston-red-sox,-57.77%,137,-137,102,-120,35,17,$100,$83.33,$0,$100,$83.33,$0,$100,$83.33,$0,$100,$83.33,$0,,,,,,
7/3/2009,milwaukee-brewers,chicago-cubs,50.01%,-100,100,147,-169,47,69,$100,$147.00,$0,$100,$59.17,$159.17,$100,$147.00,$0,$100,$147.00,$0,$100,$147.00,$0,$100,$147.00,$0
7/3/2009,oakland-athletics,cleveland-indians,52.43%,-110,110,120,-138,30,48,$100,$120.00,$0,$100,$72.46,$172.46,$100,$120.00,$0,$100,$120.00,$0,$100,$120.00,$0,,,
7/3/2009,detroit-tigers,minnesota-twins,-50.78%,103,-103,149,-169,46,66,$100,$59.17,$0,$100,$59.17,$0,$100,$149.00,$249.00,,,,,,,$100,$149.00,$249.00
7/3/2009,houston-astros,san-francisco-giants,-54.04%,118,-118,-106,-111,24,7,$100,$90.09,$190.09,$100,$90.09,$190.09,$100,$90.09,$190.09,$100,$90.09,$190.09,,,,,,
7/3/2009,pittsburgh-pirates,miami-marlins,-56.84%,132,-132,149,-172,17,40,$100,$58.14,$0,$100,$58.14,$0,$100,$149.00,$249.00,,,,,,,,,
7/3/2009,new-york-mets,philadelphia-phillies,51.90%,-108,108,137,-158,45,66,$100,$137.00,$0,$100,$63.29,$163.29,$100,$137.00,$0,$100,$137.00,$0,$100,$137.00,$0,$100,$137.00,$0
7/3/2009,toronto-blue-jays,new-york-yankees,-53.17%,114,-114,163,-192,49,78,$100,$52.08,$152.08,$100,$52.08,$152.08,$100,$163.00,$0,,,,,,,$100,$163.00,$0
7/3/2009,tampa-bay-rays,texas-rangers,51.25%,-105,105,-144,125,39,20,$100,$69.44,$0,$100,$69.44,$0,$100,$125.00,$225.00,,,,,,,,,
7/3/2009,atlanta-braves,washington-nationals,58.02%,-138,138,-126,108,12,30,$100,$79.37,$179.37,$100,$79.37,$179.37,$100,$79.37,$179.37,$100,$79.37,$179.37,,,,,,
,,,,,,,,,,$1200,-$507.03,-42.25%,$1200,-$12.11,-1.01%,$1000,$92.46,9.25%,$600,-$230.54,-38.42%,$300,-$300.00,-100.00%,$400,-$151.00,-37.75%
7/4/2009,arizona-diamondbacks,colorado-rockies,-59.11%,145,-145,179,-208,34,63,$100,$48.08,$0,$100,$48.08,$0,$100,$179.00,$279.00,,,,,,,,,
7/4/2009,baltimore-orioles,los-angeles-angels,-56.52%,130,-130,136,-156,6,26,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$136.00,$0,,,,,,,,,
7/4/2009,seattle-mariners,boston-red-sox,-57.27%,134,-134,193,-227,59,93,$100,$44.05,$0,$100,$44.05,$0,$100,$193.00,$293.00,,,,,,,$100,$193.00,$293.00
7/4/2009,milwaukee-brewers,chicago-cubs,-53.35%,114,-114,144,-166,30,52,$100,$60.24,$0,$100,$60.24,$0,$100,$144.00,$244.00,,,,,,,,,
7/4/2009,oakland-athletics,cleveland-indians,51.94%,-108,108,-105,-112,3,20,$100,$95.24,$0,$100,$89.29,$189.29,$100,$95.24,$0,$100,$95.24,$0,,,,,,
7/4/2009,detroit-tigers,minnesota-twins,-50.03%,100,-100,108,-125,8,25,$100,$80.00,$180.00,$100,$80.00,$180.00,$100,$108.00,$0,,,,,,,,,
7/4/2009,houston-astros,san-francisco-giants,-55.77%,126,-126,177,-208,51,82,$100,$48.08,$148.08,$100,$48.08,$148.08,$100,$177.00,$0,,,,,,,$100,$177.00,$0
7/4/2009,pittsburgh-pirates,miami-marlins,-55.29%,124,-124,127,-147,3,23,$100,$68.03,$168.03,$100,$68.03,$168.03,$100,$127.00,$0,,,,,,,,,
